Company,Journeys,Times_per_day,Times_start,Times_end,Total_time,Payment
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH PHÚC XUYÊN'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Quảng Ninh'>,<Selector xpath='//td[3]/b[2]/text()' data='12 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='8:45'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='19:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='4 giờ 18 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='80 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH PHÚC XUYÊN'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Bắc Ninh'>,<Selector xpath='//td[3]/b[2]/text()' data='12 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='17:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='20:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='1 giờ 48 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='50 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH PHÚC XUYÊN'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Hải Dương'>,<Selector xpath='//td[3]/b[2]/text()' data='12 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='18:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='8:15'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='2 giờ 24 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='60 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH HỒNG THỊNH'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Tuyên Quang'>,<Selector xpath='//td[3]/b[2]/text()' data='6 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='5:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='12:30'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='2 giờ 30 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='100 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH  TIẾN ĐẠT THÀNH'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Thừa Thiên Huế'>,<Selector xpath='//td[3]/b[2]/text()' data='1 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='5:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='12:30'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='17 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='300 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH VIETBUS'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Phú Thọ'>,<Selector xpath='//td[3]/b[2]/text()' data='2 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='19:30'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='5:30'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='2 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='80 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH VIETBUS'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Lào Cai'>,<Selector xpath='//td[3]/b[2]/text()' data='4 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='17:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='03:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='5 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='250 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH VIETBUS'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Lào Cai'>,<Selector xpath='//td[3]/b[2]/text()' data='2 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='18:15'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='2:45'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='7 giờ 30 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='300 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH VIETBUS'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Yên Bái'>,<Selector xpath='//td[3]/b[2]/text()' data='2 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='19:30'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='4:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='3 giờ 45 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='150 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH ĐỨC DŨNG'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Lạng Sơn'>,<Selector xpath='//td[3]/b[2]/text()' data='52 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='12:30'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='13:30'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='3 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='130 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH HÙNG LIÊN'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Yên Bái'>,<Selector xpath='//td[3]/b[2]/text()' data='53 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='4:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='8:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='4 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='110 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH ĐỨC PHÚC'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Quảng Ninh'>,<Selector xpath='//td[3]/b[2]/text()' data='12 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='16:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='20:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='4 giờ 27 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='110 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH ĐỨC PHÚC'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Quảng Ninh'>,<Selector xpath='//td[3]/b[2]/text()' data='20 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='16:15'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='20:15'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='4 giờ 12 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='100 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH ĐỨC PHÚC'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Bắc Ninh'>,<Selector xpath='//td[3]/b[2]/text()' data='32 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='4:15'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='8:15'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='1 giờ 9 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='40 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH KHÁNH HOÀN'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Cao Bằng'>,<Selector xpath='//td[3]/b[2]/text()' data='3 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='4:30'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='8:30'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='8 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='200 000'>"
